startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T23:51:43.972Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:51:50.219Z,2020-10-09T23:51:50.225Z,2020-10-09T23:51:51.520Z,0.865090012550354
2020-10-09T23:51:52.527Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:51:58.630Z,2020-10-09T23:51:58.636Z,2020-10-09T23:51:59.819Z,0.8710650205612183
2020-10-09T23:52:04.328Z,"iPhone12,3",14.0.0,original,receiver,10489136.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:52:12.754Z,2020-10-09T23:52:12.761Z,2020-10-09T23:52:13.864Z,4.334409952163696
2020-10-09T23:52:18.428Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:52:26.370Z,2020-10-09T23:52:26.375Z,2020-10-09T23:52:27.496Z,4.393087029457092
2020-10-09T23:52:32.016Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:52:39.508Z,2020-10-09T23:52:39.513Z,2020-10-09T23:52:40.614Z,4.3317389488220215
2020-10-09T23:52:49.476Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:52:59.921Z,2020-10-09T23:52:59.926Z,2020-10-09T23:53:01.019Z,8.62166702747345
2020-10-09T23:53:10.042Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:53:20.388Z,2020-10-09T23:53:20.393Z,2020-10-09T23:53:21.445Z,8.775180101394653
2020-10-09T23:53:30.418Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:53:40.327Z,2020-10-09T23:53:40.332Z,2020-10-09T23:53:41.383Z,8.733072996139526
2020-10-09T23:53:54.781Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:54:08.622Z,2020-10-09T23:54:08.626Z,2020-10-09T23:54:09.561Z,13.065659046173096
2020-10-09T23:54:22.954Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:54:35.888Z,2020-10-09T23:54:35.893Z,2020-10-09T23:54:36.833Z,13.098514080047607
2020-10-09T23:54:50.156Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:55:03.661Z,2020-10-09T23:55:03.665Z,2020-10-09T23:55:04.659Z,13.065348029136658
2020-10-09T23:55:04.779Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:55:10.493Z,2020-10-09T23:55:10.497Z,2020-10-09T23:55:11.527Z,0.08723604679107666
2020-10-09T23:55:11.671Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:55:17.300Z,2020-10-09T23:55:17.304Z,2020-10-09T23:55:18.302Z,0.08628594875335693
2020-10-09T23:55:18.491Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:55:24.132Z,2020-10-09T23:55:24.136Z,2020-10-09T23:55:25.181Z,0.08749604225158691
2020-10-09T23:55:26.089Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:55:31.971Z,2020-10-09T23:55:31.976Z,2020-10-09T23:55:32.962Z,0.8724080324172974
2020-10-09T23:55:33.882Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:55:39.836Z,2020-10-09T23:55:39.840Z,2020-10-09T23:55:40.847Z,0.8751919269561768
2020-10-09T23:55:41.771Z,"iPhone12,3",14.0.0,original,receiver,10489146.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:55:48.178Z,2020-10-09T23:55:48.182Z,2020-10-09T23:55:49.237Z,0.8713109493255615
2020-10-09T23:55:53.675Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:56:01.873Z,2020-10-09T23:56:01.877Z,2020-10-09T23:56:02.946Z,4.341430902481079
